win,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,reb,ast,stl,blk,pf,tov,fbpts,fbptsa,fbptsm,pip,pipa,pipm,ble,bpts,tf,scp,tmreb,tmtov,potov,home,away,date
0.0,-3,-3,3,4,2,1,-2,-1,-3,-6,-1,3,-4,1,-1,-3,0,-24,-8,-12,1,-30,0,1,4,1,1,CHI,SAS,2018-11-27
0.0,-3,2,-16,-6,-7,-6,-3,-2,-5,10,-4,-1,1,5,-8,2,-1,12,9,6,-20,21,0,-10,-1,-2,0,PHX,HOU,2019-02-05
0.0,-9,1,5,2,5,-5,2,5,7,7,-4,2,-5,6,-15,-8,-7,-8,-12,-4,-2,13,0,3,7,0,-5,ORL,CHI,2019-02-23
0.0,-4,-3,18,5,-4,-2,1,2,3,11,-9,1,-3,10,-2,2,0,-14,-20,-7,11,24,-1,-8,0,0,-6,UTA,NOP,2019-03-05
1.0,-1,9,-1,-1,-17,-12,-6,2,-4,11,-4,1,4,3,-22,-5,-5,2,-9,1,9,11,-1,-1,5,0,-1,BOS,OKC,2019-02-03
0.0,-13,-10,4,0,10,6,-7,-4,-11,7,-3,-7,-2,-1,10,11,4,-16,-5,-8,-6,20,0,-7,0,-1,7,BKN,POR,2019-02-22
1.0,10,1,18,12,-10,-6,5,2,7,-3,1,-1,8,0,0,2,1,-32,-12,-16,16,-22,0,2,0,1,13,GSW,MIN,2018-12-11
0.0,-11,-13,-11,0,1,4,-4,1,-3,-6,-5,-2,-2,10,-11,-7,-7,-24,-10,-12,-19,-11,0,-3,2,0,-12,PHX,BKN,2018-11-07
1.0,-8,-2,1,1,17,6,-4,3,-1,-6,0,-1,-9,-2,3,0,2,12,8,6,0,-17,-1,8,6,0,3,DAL,GSW,2018-11-18
0.0,19,-5,18,3,-13,-13,11,-13,-2,4,3,3,6,-2,1,2,-3,-10,1,-5,-25,-44,-2,13,-2,-1,-3,HOU,LAC,2018-10-27
1.0,-3,6,4,-3,6,8,1,6,7,5,1,10,-1,1,0,3,1,24,4,12,9,4,0,2,-2,-2,4,OKC,CLE,2018-11-29
1.0,14,20,2,4,0,-5,10,12,22,18,8,0,1,-7,42,15,16,30,18,15,38,8,0,8,1,1,20,GSW,SAS,2019-02-07
0.0,-1,-5,3,1,-6,-5,-1,-3,-4,5,-1,1,-1,4,11,5,4,-4,2,-2,-16,-3,0,-2,1,-1,-7,ORL,POR,2018-10-25
1.0,3,-3,3,4,16,10,8,-1,7,3,-4,-5,-7,1,-4,-4,-3,-8,3,-4,-8,10,-1,1,9,0,-2,DEN,BOS,2018-11-06
